id,Number_Street,CITY,STATE,POSTCODE,ADDRESS,NUMBER,STREET
1, 30TH ST,,CA,95660, 30TH ST  CA 95660,,30TH ST
2, 46TH ST,,CA,95823, 46TH ST  CA 95823,,46TH ST
3, 7TH AVE,,CA,95820, 7TH AVE  CA 95820,,7TH AVE
4, BANNISTER RD,,CA,95628, BANNISTER RD  CA 95628,,BANNISTER RD
5, BOND RD,,CA,95624, BOND RD  CA 95624,,BOND RD
6, BRANDON OAKS LN,,CA,95608, BRANDON OAKS LN  CA 95608,,BRANDON OAKS LN
7, BRANNAN ISLAND RD,,CA,95641, BRANNAN ISLAND RD  CA 95641,,BRANNAN ISLAND RD
8, E SANDBURG DR,,CA,95819, E SANDBURG DR  CA 95819,,E SANDBURG DR
9, ELDER CREEK RD,,CA,95829, ELDER CREEK RD  CA 95829,,ELDER CREEK RD
10,1010 Ohio Ave,Richmond,CA,94804,1010 Ohio Ave Richmond CA 94804,1010,Ohio Ave
11,1010 S Jaye St,PORTERVILLE,CA,93257,1010 S Jaye St PORTERVILLE CA 93257,1010,S Jaye St
12,1010 S La Brea Ave,Los Angeles,CA,90019,1010 S La Brea Ave Los Angeles CA 90019,1010,S La Brea Ave
13,1010 W TERRACE AVE,,CA,93705,1010 W TERRACE AVE  CA 93705,1010,W TERRACE AVE
14,10100 Empyrean Wy,Los Angeles,CA,90067,10100 Empyrean Wy Los Angeles CA 90067,10100,Empyrean Wy
15,10100 Janetta Wy,Sunland,CA,91040,10100 Janetta Wy Sunland CA 91040,10100,Janetta Wy
16,10104 PINEWOOD VIEW,Santee,CA,92071,10104 PINEWOOD VIEW Santee CA 92071,10104,PINEWOOD VIEW
17,10108 Camarillo St,North Hollywood,CA,91602,10108 Camarillo St North Hollywood CA 91602,10108,Camarillo St
18,105 GURNSEY AVE,,CA,96080,105 GURNSEY AVE  CA 96080,105,GURNSEY AVE
19,105 HUNTINGTON ST,HUNTINGTON BEACH,CA,,105 HUNTINGTON ST HUNTINGTON BEACH CA ,105,HUNTINGTON ST
20,105 MCKEE COURT,Vallejo,CA,94589,105 MCKEE COURT Vallejo CA 94589,105,MCKEE COURT
21,105 PLACER AVE,Ventura,CA,93004,105 PLACER AVE Ventura CA 93004,105,PLACER AVE
22,105 Rubicon Cir,Danville,CA,94526,105 Rubicon Cir Danville CA 94526,105,Rubicon Cir
23,105 Schooner Ct,Richmond,CA,94804,105 Schooner Ct Richmond CA 94804,105,Schooner Ct
24,1050 COURT ST,SAN RAFAEL,CA,94901,1050 COURT ST SAN RAFAEL CA 94901,1050,COURT ST
25,1050 GREEN VALLEY RD,WATSONVILLE,CA,95076,1050 GREEN VALLEY RD WATSONVILLE CA 95076,1050,GREEN VALLEY RD
26,1050 NORTH POINT ST,,CA,94109,1050 NORTH POINT ST  CA 94109,1050,NORTH POINT ST
27,1050 PARK HILL LN,Escondido,CA,92025,1050 PARK HILL LN Escondido CA 92025,1050,PARK HILL LN
28,1050 S Indiana St,Los Angeles,CA,90023,1050 S Indiana St Los Angeles CA 90023,1050,S Indiana St
29,10505 S Inglewood Ave,Inglewood,CA,90304,10505 S Inglewood Ave Inglewood CA 90304,10505,S Inglewood Ave
30,1051 N Eaton Ave,DINUBA,CA,93618,1051 N Eaton Ave DINUBA CA 93618,1051,N Eaton Ave
31,10516 Cole Rd,Whittier,CA,90604,10516 Cole Rd Whittier CA 90604,10516,Cole Rd
32,10517 Vail Dr,Sunland,CA,91040,10517 Vail Dr Sunland CA 91040,10517,Vail Dr
33,10518 RIDGECREST DR,JACKSON,CA,95642,10518 RIDGECREST DR JACKSON CA 95642,10518,RIDGECREST DR
34,10518 Roseton Ave,Santa Fe Springs,CA,90670,10518 Roseton Ave Santa Fe Springs CA 90670,10518,Roseton Ave
35,10519 Nashville Ave,Whittier,CA,90604,10519 Nashville Ave Whittier CA 90604,10519,Nashville Ave
36,1052 Hollybush Ln,Los Angeles,CA,90077,1052 Hollybush Ln Los Angeles CA 90077,1052,Hollybush Ln
37,1052 ORDWAY ST,ALBANY,CA,94706,1052 ORDWAY ST ALBANY CA 94706,1052,ORDWAY ST
38,1052 S Broadway,Los Angeles,CA,90015,1052 S Broadway Los Angeles CA 90015,1052,S Broadway
39,1052 Sanborn Ave,Los Angeles,CA,90029,1052 Sanborn Ave Los Angeles CA 90029,1052,Sanborn Ave
40,10525 CAMPBELL AVE,RIVERSIDE,CA,92505,10525 CAMPBELL AVE RIVERSIDE CA 92505,10525,CAMPBELL AVE
41,10525 Foothill Blvd,Sylmar,CA,91342,10525 Foothill Blvd Sylmar CA 91342,10525,Foothill Blvd
42,10535 Almayo Ave,Los Angeles,CA,90064,10535 Almayo Ave Los Angeles CA 90064,10535,Almayo Ave
43,10536 CAMINITO ALVAREZ,San Diego,CA,92126,10536 CAMINITO ALVAREZ San Diego CA 92126,10536,CAMINITO ALVAREZ
44,1054 DOLORES ST,LIVERMORE,CA,94550,1054 DOLORES ST LIVERMORE CA 94550,1054,DOLORES ST
45,1054 HYDE AV,,CA,,1054 HYDE AV  CA ,1054,HYDE AV
